B,G,R,Count
92,124,182,56
98,127,171,64
98,132,188,49
99,130,177,56
99,133,174,56
99,136,181,64
103,140,186,49
103,140,194,49
104,138,174,64
104,143,174,49
104,143,200,56
105,124,176,56
105,136,190,64
105,138,174,56
105,139,171,49
106,133,173,49
107,134,190,56
107,140,196,49
108,129,172,56
108,132,185,56
108,147,192,56
109,131,186,56
109,132,193,64
109,135,184,56
109,138,190,56
109,146,193,56
110,128,169,64
110,144,196,64
110,148,200,56
110,148,209,56
111,134,162,56
111,140,206,64
111,143,183,64
111,144,200,56
111,148,190,49
111,154,202,49
112,132,182,49
112,134,186,49
112,138,192,56
112,141,194,64
112,144,178,56
112,154,206,56
113,138,183,49
113,142,181,64
113,143,196,64
113,144,192,64
113,153,197,49
114,135,187,56
114,143,171,56
114,147,193,49
115,131,179,49
115,134,175,56
115,136,171,56
115,137,177,56
115,141,171,56
115,142,192,49
115,145,182,56
115,146,195,56
115,148,190,49
116,143,172,64
116,145,177,56
116,150,211,49
116,153,190,49
116,156,208,56
117,136,188,64
117,137,178,56
117,138,169,56
117,145,198,56
117,152,210,56
118,140,167,49
118,144,195,49
118,145,190,56
118,146,176,49
118,148,203,49
118,150,192,56
119,139,181,56
119,140,190,64
119,144,197,64
119,149,185,49
119,150,186,49
119,153,196,49
120,141,197,49
120,143,193,49
120,151,196,56
120,151,197,49
120,152,190,49
120,153,184,49
120,155,205,56
121,132,174,49
121,145,199,56
121,149,184,56
121,151,193,49
121,152,196,56
121,153,185,49
121,153,212,49
121,154,187,56
121,159,203,49
121,159,210,56
122,135,167,49
122,139,187,49
122,141,197,56
122,145,193,56
122,149,198,56
122,150,183,56
122,150,186,56
122,151,184,56
122,154,206,56
122,155,208,49
122,156,191,49
123,136,186,56
123,145,170,49
123,153,189,49
123,153,207,49
124,142,189,56
124,144,173,49
124,149,201,49
124,151,186,64
124,154,202,64
124,159,192,49
124,159,212,56
124,160,199,64
124,162,208,56
125,138,193,49
125,140,187,56
125,141,186,49
125,142,185,56
125,146,175,49
125,148,190,49
125,153,196,56
125,157,192,56
125,160,198,64
125,161,213,64
126,140,194,49
126,144,192,56
126,145,201,49
126,148,192,56
126,150,176,56
126,150,186,56
126,153,206,56
126,154,192,49
126,155,188,49
126,157,200,64
126,159,203,56
126,160,198,56
126,161,205,64
127,143,193,49
127,145,197,56
127,147,200,49
127,148,172,56
127,151,189,56
127,152,176,15
127,152,215,56
127,153,198,56
127,154,208,56
127,157,205,56
127,159,199,64
127,161,217,56
127,163,202,49
127,165,209,56
127,166,201,56
127,166,222,64
128,137,170,49
128,141,183,49
128,142,181,49
128,149,194,56
128,150,204,56
128,154,203,49
128,160,210,56
128,162,201,56
128,165,218,49
128,171,213,56
129,142,185,56
129,148,182,56
129,149,190,49
129,150,203,56
129,153,199,49
129,155,195,49
129,162,214,49
129,163,208,49
129,165,220,64
130,145,184,49
130,146,191,56
130,149,187,56
130,154,194,49
130,157,190,56
130,162,200,64
130,164,207,56
131,148,187,49
131,153,195,49
131,155,196,56
131,157,199,56
131,159,209,56
131,159,210,49
131,167,227,49
132,148,183,56
132,149,182,56
132,151,186,49
132,151,205,49
132,156,195,49
132,160,203,49
132,160,207,49
132,164,225,56
132,166,194,56
132,166,204,64
133,147,186,56
133,150,179,56
133,150,197,49
133,152,189,56
133,152,203,49
133,155,197,56
133,155,200,64
133,157,188,56
133,158,187,64
133,159,187,49
133,160,201,49
133,160,215,56
133,162,198,49
133,168,205,56
134,144,182,56
134,149,199,64
134,152,183,56
134,156,179,56
134,156,188,49
134,158,207,64
134,158,209,56
134,162,189,56
134,162,196,55
134,162,202,56
134,166,203,56
134,166,205,56
134,167,197,64
134,167,198,49
134,167,209,56
134,168,203,64
135,157,203,64
135,158,187,56
135,158,189,64
135,162,196,1
135,163,200,56
135,172,219,49
135,174,217,56
136,155,195,56
136,160,183,24
136,162,216,56
136,162,219,64
136,163,182,49
136,168,213,56
136,168,214,56
136,169,204,49
136,176,223,49
137,142,191,105
137,150,194,24
137,157,204,56
137,159,187,56
137,160,201,49
137,162,186,21
137,162,200,49
137,163,188,56
137,163,197,56
137,164,204,49
137,166,197,56
137,172,208,56
137,172,219,49
137,174,214,56
137,178,218,49
138,146,197,56
138,151,193,56
138,155,183,56
138,156,185,24
138,157,202,64
138,159,205,49
138,161,196,64
138,166,209,56
138,168,208,49
138,171,195,14
138,176,225,56
138,177,226,56
139,149,188,56
139,150,194,56
139,151,180,21
139,155,182,24
139,158,199,21
139,159,204,56
139,161,196,24
139,167,194,56
139,167,212,49
139,169,217,49
139,170,208,56
139,171,198,56
139,173,208,35
140,152,196,64
140,153,179,64
140,153,185,49
140,156,182,14
140,156,189,49
140,158,204,56
140,161,213,49
140,163,205,56
140,164,217,120
140,165,188,56
140,165,213,56
140,166,189,64
140,166,212,56
140,166,215,56
140,168,207,16
140,171,221,64
140,172,218,56
140,175,219,56
140,175,224,56
140,176,218,56
141,155,196,56
141,158,200,35
141,159,187,49
141,159,199,64
141,160,185,49
141,161,196,49
141,161,201,49
141,162,180,56
141,165,187,49
141,165,214,49
141,166,212,56
141,167,206,49
141,169,194,56
141,171,210,56
141,175,206,56
141,175,233,49
141,176,216,49
141,177,208,56
142,153,189,56
142,156,198,49
142,163,192,49
142,163,208,56
142,165,199,64
142,166,199,56
142,166,212,56
142,169,206,14
142,173,205,56
142,174,208,56
143,149,179,64
143,150,190,64
143,151,189,49
143,157,191,49
143,159,202,56
143,160,204,49
143,164,194,49
143,166,219,49
143,168,192,56
143,168,204,49
143,171,205,56
143,171,208,64
143,172,194,49
143,172,197,64
143,177,211,49
143,178,214,56
143,182,229,49
143,182,233,64
144,155,191,21
144,156,185,64
144,157,181,56
144,159,190,64
144,164,192,49
144,165,207,56
144,171,209,64
144,173,200,49
144,177,213,56
145,152,180,56
145,154,202,49
145,162,206,49
145,165,216,49
145,168,182,49
145,175,210,56
146,154,181,64
146,157,193,49
146,162,189,49
146,162,202,56
146,164,187,56
146,164,203,24
146,169,208,49
146,170,200,56
146,171,208,56
146,173,197,56
146,175,212,49
146,176,207,56
146,179,213,56
146,179,223,49
146,181,220,49
146,181,227,56
147,160,207,56
147,161,206,49
147,163,192,56
147,163,198,56
147,163,199,56
147,165,206,64
147,165,211,64
147,166,207,56
147,167,206,49
147,168,218,56
147,171,192,56
147,171,208,56
147,171,223,56
147,172,209,56
147,174,210,64
147,175,215,56
147,177,214,49
147,179,229,105
147,181,210,14
147,182,230,49
148,159,193,56
148,161,209,56
148,163,188,21
148,163,210,49
148,166,204,56
148,169,211,63
148,169,219,49
148,170,192,49
148,170,211,1
148,172,214,56
148,174,212,64
148,175,225,64
149,160,204,56
149,165,194,30
149,166,209,56
149,166,213,49
149,169,190,16
149,170,217,49
149,172,209,49
149,175,200,56
149,175,217,49
149,175,218,56
149,177,196,49
149,179,224,56
149,180,206,14
149,181,224,56
150,154,190,16
150,158,184,49
150,165,198,56
150,174,196,16
150,176,205,48
150,176,209,40
150,176,218,64
150,177,210,56
150,177,227,49
150,178,211,56
150,178,224,64
150,180,207,56
150,181,205,56
150,185,233,56
150,188,221,56
151,156,199,56
151,159,194,49
151,165,194,24
151,172,212,64
151,174,216,49
151,176,205,1
151,178,218,49
151,180,207,49
151,182,215,64
151,182,218,56
151,182,230,56
151,183,232,56
151,185,209,35
151,189,229,64
151,189,234,49
152,162,205,56
152,166,189,14
152,168,211,56
152,169,195,64
152,170,197,21
152,175,195,56
152,178,215,56
152,184,216,56
153,163,200,56
153,165,195,56
153,166,200,64
153,167,200,49
153,169,212,56
153,172,208,56
153,175,212,49
153,181,209,56
153,182,224,64
153,183,199,56
154,167,201,21
154,172,212,56
154,174,213,49
154,175,212,21
154,176,216,56
154,180,218,49
154,181,211,64
154,181,226,56
154,184,198,56
154,186,212,14
154,188,235,49
155,158,186,14
155,172,205,16
155,172,220,56
155,175,230,49
155,176,223,49
155,179,207,64
155,179,221,64
155,184,227,49
155,187,218,56
155,194,216,35
156,168,200,49
156,170,204,14
156,177,210,64
156,179,202,56
156,179,222,64
156,181,215,56
156,182,225,49
156,184,207,21
156,185,223,56
156,187,222,49
156,188,215,49
156,188,239,49
156,189,232,56
157,159,186,49
157,167,195,56
157,167,201,49
157,168,191,56
157,168,193,21
157,169,192,56
157,175,205,49
157,176,194,49
157,177,214,56
157,178,230,56
157,184,208,113
157,190,232,49
157,193,217,49
158,166,191,64
158,173,214,49
158,178,213,56
158,179,207,64
158,185,229,49
158,186,224,35
158,186,226,56
158,186,228,64
158,188,235,56
158,190,213,56
158,191,206,64
158,192,234,56
158,198,227,14
159,167,214,64
159,172,197,56
159,173,205,56
159,174,217,49
159,176,205,64
159,179,216,56
159,180,212,49
159,181,203,49
159,182,209,56
159,182,219,49
159,183,205,24
159,183,217,21
159,183,225,64
159,184,206,49
159,185,206,56
159,190,223,49
159,193,231,56
160,176,224,56
160,179,206,49
160,180,210,64
160,180,217,64
160,182,208,49
160,190,223,49
160,192,222,56
161,171,224,49
161,172,212,56
161,173,214,56
161,175,219,64
161,178,217,64
161,180,227,56
161,181,221,56
161,185,210,56
161,186,208,40
161,190,220,64
161,196,217,56
162,171,212,56
162,174,206,16
162,181,215,49
162,184,222,21
162,184,232,56
162,185,218,49
162,191,220,49
162,193,213,56
162,194,223,49
162,195,225,16
163,173,196,64
163,178,208,64
163,181,208,56
163,181,211,56
163,181,216,49
163,182,224,64
163,183,224,56
163,184,219,21
163,186,218,56
163,187,213,40
163,187,218,56
163,188,228,56
163,194,218,49
163,194,222,35
163,195,226,56
163,195,230,56
163,202,229,56
163,202,230,49
164,173,209,56
164,178,207,14
164,180,204,56
164,181,224,64
164,187,225,56
164,193,233,49
165,175,203,64
165,178,215,64
165,183,234,56
165,185,211,56
165,189,233,56
165,190,229,49
165,193,239,64
165,194,230,49
165,196,224,64
165,206,231,16
166,173,209,49
166,175,196,56
166,178,212,56
166,182,221,64
166,183,228,64
166,185,232,49
166,191,225,56
166,192,229,56
166,193,224,49
167,181,225,40
167,182,207,56
167,186,227,64
167,191,229,40
167,195,226,56
167,198,224,49
168,181,213,35
168,184,213,49
168,187,216,56
168,188,216,56
168,190,228,64
168,198,225,56
168,201,232,56
168,205,231,10
169,179,201,56
169,184,215,64
169,184,220,56
169,189,209,64
169,191,213,1
169,193,228,56
169,193,235,56
169,194,226,49
169,195,230,49
169,198,222,56
169,201,230,49
170,177,202,16
170,182,206,49
170,182,230,56
170,187,231,49
170,189,221,56
170,190,225,49
170,191,213,55
170,191,228,64
170,192,212,49
170,192,220,64
170,195,225,49
170,195,231,49
170,196,228,56
170,198,219,14
170,199,241,35
170,200,225,14
170,201,232,49
170,209,236,56
171,181,212,49
171,183,224,56
171,193,229,21
171,194,232,24
171,205,242,64
172,188,213,49
172,191,210,35
172,191,219,56
172,192,217,56
172,192,218,56
172,192,222,56
172,193,222,113
172,193,236,56
172,197,226,56
172,208,236,56
173,187,224,64
173,189,222,49
173,193,212,49
173,196,218,49
174,187,225,56
174,192,214,49
174,196,230,56
174,198,224,49
174,216,241,49
175,189,216,49
175,195,216,14
175,196,244,56
175,199,222,40
175,202,229,56
175,203,236,49
176,179,208,49
176,184,226,49
176,193,217,21
176,195,227,56
176,200,233,56
176,210,241,64
177,186,217,21
177,198,222,56
177,199,227,64
177,202,231,49
178,177,210,56
178,186,232,49
178,187,218,24
178,188,231,56
178,191,230,24
178,198,237,64
178,200,215,56
178,206,228,56
178,209,244,56
179,185,220,14
179,199,226,49
179,202,229,49
179,203,233,24
179,204,222,40
179,212,227,49
179,212,238,49
179,217,235,16
180,192,229,64
180,194,223,56
180,195,223,56
180,197,229,49
180,197,230,21
180,198,224,64
180,199,225,56
180,200,216,56
180,203,226,56
180,203,229,49
180,204,226,49
180,205,225,49
180,206,235,21
180,210,247,56
181,197,215,56
181,198,220,56
181,198,226,56
181,205,232,56
181,206,239,64
181,207,243,56
181,215,236,49
182,193,223,56
182,204,230,24
182,205,229,56
182,210,237,56
182,211,231,16
182,212,237,56
183,191,218,56
183,193,233,56
183,200,231,49
183,202,212,56
183,202,232,21
183,217,231,56
184,189,216,35
184,194,239,56
184,203,235,49
184,206,228,49
184,210,233,56
185,193,234,64
185,205,223,2
185,207,219,64
185,210,237,56
186,200,226,49
186,205,223,47
186,209,239,49
186,212,232,64
186,223,239,49
186,225,248,49
186,228,250,49
