 ??????=86.61,?????=28.24,?????=-11.40 
,,
,,
 ??????=86.61,?????=28.22,?????=-11.42 
,,
,,
 ??????=86.61,?????=28.20,?????=-11.44 
,,
,,
 ??????=86.61,?????=28.19,?????=-11.46 
,,
,,
 ??????=86.61,?????=28.17,?????=-11.48 
,,
,,
 ??????=86.61,?????=28.14,?????=-11.50 
,,
,,
 ??????=86.61,?????=28.12,?????=-11.52 
,,
,,
 ??????=86.61,?????=28.10,?????=-11.54 
,,
,,
 ??????=86.61,?????=28.07,?????=-11.57 
,,
,,
 ??????=86.61,?????=28.07,?????=-11.57 
,,
,,
 ??????=86.61,?????=27.72,?????=-11.91 
,,
,,
 ??????=86.61,?????=27.72,?????=-11.91 
,,
,,
 ??????=86.61,?????=27.73,?????=-11.90 
,,
,,
 ??????=86.61,?????=27.72,?????=-11.91 
,,
,,
 ??????=86.61,?????=27.72,?????=-11.91 
,,
,,
 ??????=86.60,?????=27.71,?????=-11.92 
,,
,,
 ??????=86.61,?????=27.70,?????=-11.92 
,,
,,
 ??????=86.60,?????=27.70,?????=-11.93 
,,
,,
 ??????=86.60,?????=27.69,?????=-11.94 
,,
,,
 ??????=86.60,?????=27.68,?????=-11.94 
,,
,,
 ??????=86.60,?????=27.68,?????=-11.94 
,,
,,
 ??????=86.60,?????=27.35,?????=-12.26 
,,
,,
 ??????=86.60,?????=27.35,?????=-12.27 
,,
,,
 ??????=86.60,?????=27.34,?????=-12.28 
,,
,,
 ??????=86.60,?????=27.31,?????=-12.30 
,,
,,
 ??????=86.60,?????=27.31,?????=-12.30 
,,
,,
 ??????=86.60,?????=27.31,?????=-12.30 
,,
,,
 ??????=86.60,?????=27.29,?????=-12.32 
,,
,,
 ??????=86.59,?????=27.28,?????=-12.33 
,,
,,
 ??????=86.59,?????=27.28,?????=-12.33 
,,
,,
 ??????=86.59,?????=27.27,?????=-12.34 
,,
,,
 ??????=86.59,?????=27.27,?????=-12.34 
,,
,,
 ??????=86.59,?????=27.03,?????=-12.57 
,,
,,
 ??????=86.59,?????=27.01,?????=-12.59 
,,
,,
 ??????=86.59,?????=26.99,?????=-12.61 
,,
,,
 ??????=86.59,?????=27.00,?????=-12.60 
,,
,,
 ??????=86.59,?????=27.00,?????=-12.60 
,,
,,
 ??????=86.59,?????=27.00,?????=-12.60 
,,
,,
 ??????=86.59,?????=27.01,?????=-12.59 
,,
,,
 ??????=86.59,?????=27.00,?????=-12.59 
,,
,,
 ??????=86.59,?????=26.99,?????=-12.61 
,,
,,
 ??????=86.59,?????=26.97,?????=-12.63 
,,
,,
 ??????=86.59,?????=26.97,?????=-12.63 
,,
,,
 ??????=86.59,?????=26.79,?????=-12.80 
,,
,,
 ??????=86.59,?????=26.79,?????=-12.80 
,,
,,
 ??????=86.59,?????=26.79,?????=-12.80 
,,
,,
 ??????=86.59,?????=26.78,?????=-12.80 
,,
,,
 ??????=86.59,?????=26.77,?????=-12.82 
,,
,,
 ??????=86.59,?????=26.76,?????=-12.83 
,,
,,
 ??????=86.59,?????=26.74,?????=-12.84 
,,
,,
 ??????=86.59,?????=26.72,?????=-12.86 
,,
,,
 ??????=86.59,?????=26.72,?????=-12.87 
,,
